id,gamedate,homeid,awayid
2022020387,2022-12-04T00:30:00Z,3,16
2022020388,2022-12-04T03:00:00Z,23,53
2022020389,2022-12-04T03:00:00Z,55,13
2022020390,2022-12-04T03:00:00Z,20,15
2022020391,2022-12-04T03:30:00Z,26,12
2022020392,2022-12-04T20:00:00Z,52,24
2022020393,2022-12-04T20:00:00Z,25,30
2022020394,2022-12-04T23:00:00Z,29,17
2022020395,2022-12-05T00:00:00Z,7,28
2022020396,2022-12-05T00:30:00Z,2,16
2022020397,2022-12-06T00:00:00Z,4,21
2022020398,2022-12-06T00:00:00Z,3,19
2022020399,2022-12-06T00:00:00Z,6,54
2022020400,2022-12-06T01:30:00Z,22,15
2022020401,2022-12-06T02:00:00Z,20,53
2022020402,2022-12-06T03:30:00Z,23,8
2022020403,2022-12-07T00:00:00Z,1,16
2022020404,2022-12-07T00:00:00Z,5,29
2022020405,2022-12-07T00:00:00Z,14,17
2022020406,2022-12-07T00:00:00Z,9,26
2022020407,2022-12-07T00:30:00Z,2,19
2022020408,2022-12-07T01:00:00Z,52,13
2022020409,2022-12-07T01:30:00Z,25,10
2022020410,2022-12-07T03:00:00Z,24,12
2022020411,2022-12-07T03:00:00Z,55,8
2022020413,2022-12-08T00:00:00Z,4,15
2022020412,2022-12-08T00:30:00Z,29,7
2022020414,2022-12-08T01:00:00Z,20,30
2022020415,2022-12-08T02:00:00Z,21,6
2022020416,2022-12-08T02:30:00Z,22,53
2022020417,2022-12-08T03:00:00Z,54,3
2022020418,2022-12-08T03:30:00Z,28,23
2022020420,2022-12-09T00:00:00Z,10,26
2022020421,2022-12-09T00:00:00Z,14,18
2022020419,2022-12-09T00:30:00Z,13,17
2022020422,2022-12-09T01:00:00Z,19,52
2022020423,2022-12-09T01:30:00Z,25,9
2022020424,2022-12-10T00:00:00Z,29,20
2022020425,2022-12-10T00:00:00Z,1,2
2022020426,2022-12-10T00:00:00Z,7,5
2022020427,2022-12-10T00:00:00Z,15,55
2022020428,2022-12-10T01:30:00Z,16,52
2022020429,2022-12-10T02:00:00Z,22,30
2022020430,2022-12-10T02:00:00Z,21,3
2022020431,2022-12-10T02:30:00Z,53,6
2022020432,2022-12-10T03:00:00Z,54,4
2022020433,2022-12-10T03:00:00Z,24,28
2022020434,2022-12-10T18:30:00Z,18,9
2022020435,2022-12-10T19:00:00Z,25,17
2022020436,2022-12-10T21:30:00Z,14,13
2022020437,2022-12-11T00:00:00Z,5,7
2022020438,2022-12-11T00:00:00Z,10,20
2022020439,2022-12-11T00:00:00Z,8,26
2022020440,2022-12-11T00:30:00Z,2,12
2022020441,2022-12-11T03:00:00Z,23,30
2022020442,2022-12-11T20:00:00Z,19,21
2022020443,2022-12-11T23:00:00Z,29,26
2022020444,2022-12-11T23:00:00Z,13,55
2022020445,2022-12-12T00:00:00Z,53,4
2022020446,2022-12-12T00:00:00Z,52,15
2022020447,2022-12-12T01:00:00Z,54,6
2022020448,2022-12-13T00:00:00Z,8,20
2022020449,2022-12-13T00:00:00Z,5,25
2022020450,2022-12-13T00:00:00Z,3,1
2022020451,2022-12-13T00:30:00Z,9,24
2022020452,2022-12-13T01:00:00Z,30,22
2022020453,2022-12-13T01:00:00Z,19,18
2022020454,2022-12-14T00:00:00Z,10,24
2022020455,2022-12-14T00:00:00Z,13,29
2022020456,2022-12-14T00:00:00Z,1,25
2022020457,2022-12-14T00:00:00Z,7,26
2022020458,2022-12-14T00:00:00Z,6,2
2022020459,2022-12-14T00:00:00Z,14,55
2022020460,2022-12-14T00:00:00Z,17,12
2022020461,2022-12-14T01:00:00Z,18,22
2022020462,2022-12-14T01:00:00Z,52,54
2022020463,2022-12-14T01:30:00Z,16,15
2022020464,2022-12-14T02:30:00Z,21,4
2022020465,2022-12-14T03:30:00Z,28,53
2022020466,2022-12-15T00:00:00Z,9,8
2022020467,2022-12-15T00:30:00Z,30,17
2022020468,2022-12-15T03:00:00Z,20,23
2022020469,2022-12-16T00:00:00Z,8,24
2022020470,2022-12-16T00:00:00Z,14,29
2022020471,2022-12-16T00:00:00Z,15,25
2022020472,2022-12-16T00:00:00Z,6,26
